Name,Class,Role,Tier,Score,Trend,Win,Role.1,Pick,Ban,KDA,Lost
Xerath,Mage,MID,A,48.19,-2.63,0.0,26.08%,1.44%,4.04%,3.13,100.0
Xin Zhao,Fighter,JUNGLE,C,38.19,0.99,0.0,84.64%,2.40%,0.41%,2.25,100.0
Yasuo,Fighter,MID,God,85.15,-2.72,0.0,69.95%,12.73%,21.08%,1.76,100.0
Yasuo,Fighter,TOP,B,43.76,-2.39,0.0,17.19%,2.96%,21.08%,1.49,100.0
Yasuo,Fighter,ADC,B,40.1,7.72,0.0,11.31%,1.89%,21.08%,2.01,100.0
Yone,Assassin,MID,S,58.02,-1.12,0.0,54.68%,6.82%,7.36%,1.89,100.0
Yone,Assassin,TOP,S,57.2,1.88,0.0,41.19%,4.81%,7.36%,1.63,100.0
Yorick,Fighter,TOP,A,48.83,0.63,0.0,88.56%,2.92%,4.03%,1.52,100.0
Yuumi,Support,SUPPORT,S,69.04,-4.32,0.0,98.78%,7.67%,14.06%,4.18,100.0
Zac,Tank,JUNGLE,A,53.35,0.93,0.0,71.96%,3.11%,2.51%,3.59,100.0
Zac,Tank,TOP,B,44.32,-2.26,0.0,13.44%,0.66%,2.51%,2.69,100.0
Zed,Assassin,MID,God,90.84,2.83,0.0,84.93%,11.50%,30.48%,2.26,100.0
Zeri,Marksman,ADC,C,39.89,0.19,0.0,89.31%,4.21%,3.23%,2.27,100.0
Ziggs,Mage,MID,B,43.66,4.37,0.0,55.93%,1.67%,0.41%,2.34,100.0
Ziggs,Mage,ADC,B,41.4,7.33,0.0,30.60%,0.83%,0.41%,2.48,100.0
Ziggs,Mage,SUPPORT,D,31.09,-3.87,0.0,12.71%,0.37%,0.42%,1.98,100.0
Zilean,Support,MID,A,52.02,4.9,0.0,13.72%,0.31%,0.76%,3.52,100.0
Zilean,Support,SUPPORT,B,45.21,1.15,0.0,82.08%,2.11%,0.76%,3.03,100.0
Zoe,Mage,MID,A,49.82,1.34,0.0,86.34%,2.98%,1.93%,2.6,100.0
Zoe,Mage,SUPPORT,D,32.21,-1.45,0.0,11.43%,0.40%,1.97%,2.11,100.0
Zyra,Mage,SUPPORT,B,46.64,-0.95,0.0,90.88%,2.87%,1.96%,2.06,100.0
